nmi,batteryCapacityKWh,batteryMaxPowerKW
70010061310,14,5
70010356749,9,5
70011812534,10.3,5
70011503607,9.6,5
70010718659,11.4,5
70010645720,11.4,5
70010628009,14.4,5
70011728250,17.1,5
70011007723,14.4,5
70010966471,14,5
70011397295,17.1,5
70010254224,9.6,5
70010805135,17.1,5
70010536499,14.4,5
70013002549,14,5
70011066200,11.4,5
70011468674,5.7,2.8672
70010519124,14,5
70010355428,17.1,5
70010554717,14,5
70011604207,11.4,5
70011748309,14.4,5
70010274660,22.8,5
70010243863,5.7,2.8672
70010478872,9.6,5
70010251181,11.4,5
70010752383,17.1,5
70010717354,9.6,5
70010055567,14.4,5
70013196806,14,5
70013277726,10.3,5
70010357845,11.4,5
70010439611,17.1,5
70013215926,11.4,5
70010490400,9.6,5
70010505222,14,5
70011518520,14,5
70011408341,14,5
70010594745,10.8,5
70010636521,14,5
70010561219,11.4,5
70011941979,14,5
70010057421,5.7,2.8672
70010386409,10.3,5
70010778140,11.4,5
7001108665,14,5
70011408986,11.4,5
70011057711,5.7,2.8672
70011605170,14,5
70010033489,11.4,5
70010944551,14,5
70010720580,14.4,5
70011794468,11.4,5
70010943933,5.7,2.8672
,14.4,5
70010681362,12,5
70010916584,14,5
70011050930,14,5
70010056788,14,5
70011791999,14,5
70010680645,14.4,5
70010359775,9.6,5
70010987653,14,5
70010327939,9.6,5
70010466714,11.4,5
70010972288,11.4,5
70010053690,11.4,5
70013243902,14.4,5
70010448082,14,5
70010806704,11.4,5
70010704568,14,5
70013003357,14,5
70010107095,14,5
70010663797,11.4,5
70010594745,10.8,5
70010766442,10.3,5
70010604100,9.6,5
70010663161,9.6,5
70013244000,14.4,5
70010958156,14.4,5
70011859196,14.4,5
70010979284,28,5
70010229390,17.2,5
7001328870,20.6,5
70010738630,11.4,5
70010527224,30.9,5
70010879681,14,5
70010516724,9.6,5
70010598936,14.4,5
70011057842,11.4,5
70013402796,11.5,5
70010789849,14.4,5
70010142119,22.8,5
70011520460,11.4,5
70011614858,10.3,5
70010286888,11.4,5
70010764537,9.6,5
70011195306,14,5
70010635390,11.4,5
70011523784,14,5
70013149745,14.4,5
70010662922,11.4,5
70011896685,17.1,5
70010273281,14,5
70010169268,17.1,5
70010179219,9.6,5
70011914926,9.6,5
70013149976,14,5
70011845724,14,5
70010641274,11.4,5
70010530009,14.4,5
70010920604,9.6,5
70011755866,10.3,5
70013420385,10.3,5
70010781780,14,5
70010304055,17.1,5
70010909638,9.6,5
70010105891,28,5
70011605368,14,5
70013140516,14.4,5
70011803114,10.8,5
70011523271,14.4,5
70011866696,20.6,5
70013215800,11.4,5
70010480145,11.4,5
70011506294,10.3,5
70010254804,5.7,2.8672
70010945285,14,5
70010755306,14,5
70011605411,14,5
70010718568,11.4,5
7001161356,11.4,5
70010385006,14,5
70010140718,14.4,5
70010403525,11.4,5
70010089341,9,5
70010803403,9,5
70010397981,14,5
70010673499,11.4,5
70011845799,22.8,5
7001037768,10.3,5
70010232923,20.6,5
70011055623,20.6,5
70011794402,10.3,5
7001066849,14,5
70010191769,14,5
70011526112,14,5
70010489854,14,5
70011613677,14,5
70011485357,22.8,5
70010576850,14,5
70011977809,14,5
70010595019,22.8,5
70010999729,20.6,5
70011944115,20.6,5
70010264217,10.3,5
70010259364,11.4,5
70010569466,10.3,5
70011083673,22.8,5
70010070947,10.3,5
70010822765,14,5
70013315165,14,5
70010790163,20.6,5
70010477512,11.4,5
7001327986,14,5
7001325378,11.4,5
70011411025,10.3,5
70010476416,14,5
70011967065,14,5
70010180993,14,5
70013318092,14,5
70010479243,14,5
70010296509,11.4,5
70012002581,14,5
70011965720,14,5
70010214469,14,5
70011636661,14,5
70010664324,11.4,5
70012011197,14,5
70010571753,14,5
70011624590,11.4,5
70011437521,14,5
70010393931,14,5
70011801224,14,5
70013268634,14,5
70010814664,5.7,2.8672
70010484350,14,5
70010651218,5.7,2.8672
70011006165,11.5,5
70011709870,14,5
70011961928,14,5
70010097872,5.7,2.8672
7001173437,5.7,2.8672
70010637801,5.7,2.8672
70011646612,5.7,2.8672
70012011164,14,5
70013158143,14,5
70011526144,14,5
70013362512,14,5
70010486736,14,5
70011609098,14,5
70011508266,14,5
70011511873,14,5
70010857092,14.4,5
70010472850,5.7,2.8672
7001176433,14,5
70011545986,11.5,5
70011504010,11.5,5
70010384641,5.7,2.8672
70010485004,11.5,5
70010183054,10.3,5
70011476034,14,5
70013368501,14,5
70011573105,11.5,5
70011447496,14,5
70013227359,14,5
70011803600,11.5,5
70010534626,14,5
7001021716,14,5
70010257441,14,5
70010507161,14,5
70013357702,14,5
70010993532,5.7,2.8672
,9.8,2.8672
70010394146,5.8,5
70010720961,2.9,2.8672
7001046189,2.9,2.8672
70010413227,5.8,5
7001165067,2.9,2.8672
7001034274,5.8,5
70010524958,2.9,2.8672
70011417847,5.8,5
70010877875,2.9,2.8672
70010301565,2.9,2.8672
7001075205,5.8,5
70010123811,2.9,2.8672
70013223274,2.9,2.8672
70010522423,5.8,5
70010607267,5.8,5
70010117382,2.9,2.8672
70011405587,5.8,5
70011513175,5.8,5
70010401299,2.9,2.8672
70011397551,5.8,5
70010767409,5.8,5
70013412878,9.8,5
70010802710,2.9,2.8672
70010801366,5.8,5
70010152462,5.8,5
70010073949,2.9,2.8672
70011415216,2.9,2.8672
7001092984,5.1,3
70010501315,5.8,5
70011783593,5.8,5
70010069816,14,5
70010714442,5.8,5
70010694297,5.8,5
70010405110,2.9,2.8672
70011993144,5.8,5
7001008716,14,5
70010427664,2.9,2.8672
7001198670,5.7,2.8672
70010680415,5.8,5
70010682137,14,5
70010283257,2.9,2.8672
70010791540,2.9,2.8672
70011927547,17.4,5
70010637981,2.9,2.8672
70011362464,8.6,5
70010709889,14,5
70010056905,14,5
70010793552,14,5
70010263192,5.8,5
70011018607,14,5
7001046337,2.9,2.8672
70010026385,2.9,2.8672
7001040203,5.8,2.8672
70011726676,14,5
70010030792,14,5
70013163706,14,5
70010904028,14,5
70011525146,14,5
70010319382,14,5
70010327955,5.8,5
70010992568,9.6,5
70011049107,2.9,2.8672
70013277692,14,5
70010745067,9.8,5
,14.2,5
7001055016,14,5
7001086090,2.9,2.8672
70011403137,2.9,2.8672
700134411542,0,2.8672
70010693299,5.8,5
70011986577,14.2,5
70013434709,14,5
70013454671,0,2.8672
7001190148,14,5
70010330695,14,5
70010771971,28,5
70011426624,13.8,5
70010906354,14,5
70011051137,14,5
70010020257,14,5
70010477958,14,5
70010661265,14,5
7001345111,9.8,5
70013420393,0,2.8672
70010532976,14,5
70010830777,9.8,5
70010411447,14,5
70011979936,14,5
70011854881,14,5
70011144442,2.9,2.8672
70010244012,14,5
7001330077,14,5
70011727311,14,5
7001336752,14,5
7001345500,0,2.8672
70013387501,0,2.8672
70010913622,13.8,5
70010668242,41.4,5
70010385482,14,5
7001043360,9.8,5
7001346830,9.8,5
70013449291,10,2.8672
70010695866,14.2,5
70011503556,9.3,5
70013441706,13.8,5
7011076975,13.8,5
70010844216,9.8,5
