switch_mrid,name,type,is_tie,tie_class,tie_type,tie_type_label,container_count,container_ids,normal_container_ids,current_container_ids,lv_parent_container_ids,mv_container_count,mv_container_ids,lv_circuit_count,lv_circuit_ids,normal_lv_circuit_ids,current_lv_circuit_ids,observed_container_ids,observed_container_count,terminal_count,is_open,is_normally_open,include_lv_mode,scope_mode,scope_label,generated_at_utc
100797012,LV ISOL PO-2336850 OS UNIT 1 2 CLARINDA ROAD,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CDA23|CDA24,,,,0,,0,,,,CDA23|CDA24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
100797152,LV ISOL PO-1819556 OS 165 CENTRE DANDENONG ROAD,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HT12|HT17,,,,0,,0,,,,HT12|HT17,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
100810305,100810305,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HGS21|HGS32,HGS21|HGS32,HGS21|HGS32,,2,HGS21|HGS32,0,,,,HGS21|HGS32,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
100999471,LV ISOL PO-1100192 OS 32 CAWARRA STREET,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MTN31|MTN34,,,,0,,0,,,,MTN31|MTN34,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
100999481,LV SW @ PILLAR OPP 3 BAY RISE DRIVE,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,MTN31|MTN34,,,,0,,0,,,,MTN31|MTN34,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
101111340,LV ISOL PO-2306226 OS 12 MARINE PARADE,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,EW12|SK1,,,,0,,0,,,,EW12|SK1,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
101112052,LV ISOL PO-2319941 OS 123 MACKIE ROAD,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,OR23|OR32,,,,0,,0,,,,OR23|OR32,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
101833311,LV SW @ PILLAR OS 3 WESTMINSTER CLOSE,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BH22|EB14,,,,0,,0,,,,BH22|EB14,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
102112592,BRDG 1801705 NORMANBY,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HT32|HT35,,,,0,,0,,,,HT32|HT35,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
102112736,LV ISOL PO-8804247 OS 682A WARRIGAL ROAD,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,CDA24|OR33,,,,0,,0,,,,CDA24|OR33,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
103655297,LV ISOL PO-7035219 OS UNIT 1 48-50 WILLIAM STREET,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BH12|BH23,,,,0,,0,,,,BH12|BH23,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
103876335,LV ISOL PO-1302028 OS 43 COLLINS PARADE,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,STO13|STO22,,,,0,,0,,,,STO13|STO22,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
103887262,103887262,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BH14|BH24,BH14|BH24,BH14|BH24,,2,BH14|BH24,0,,,,BH14|BH24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
104095435,LV ISOL PO-1309391 OS 803 POINT NEPEAN ROAD,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DMA21|RBD13,,,,0,,0,,,,DMA21|RBD13,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
104902409,104902409,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NP11|NP24,NP11|NP24,NP11|NP24,,2,NP11|NP24,0,,,,NP11|NP24,2,2,true,true,true,full-network,full-network (feeders),2026-04-22T23:07:30Z
