switch_mrid,name,type,is_tie,tie_class,tie_type,tie_type_label,container_count,container_ids,normal_container_ids,current_container_ids,lv_parent_container_ids,mv_container_count,mv_container_ids,lv_circuit_count,lv_circuit_ids,normal_lv_circuit_ids,current_lv_circuit_ids,observed_container_ids,observed_container_count,terminal_count,is_open,is_normally_open,include_lv_mode,scope_mode,scope_label,generated_at_utc
100810305,100810305,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,HGS21|HGS32,HGS21|HGS32,HGS21|HGS32,,2,HGS21|HGS32,0,,,,HGS21|HGS32,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
103887262,103887262,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BH14|BH24,BH14|BH24,BH14|BH24,,2,BH14|BH24,0,,,,BH14|BH24,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
104902409,104902409,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,NP11|NP24,NP11|NP24,NP11|NP24,,2,NP11|NP24,0,,,,NP11|NP24,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
106159738,106159738,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,DN11|LD7,DN11|LD7,DN11|LD7,,2,DN11|LD7,0,,,,DN11|LD7,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
106642401,106642401,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,LD3|MGE31,LD3|MGE31,LD3|MGE31,,2,LD3|MGE31,0,,,,LD3|MGE31,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
106642840,106642840,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,GW6|MGE22,GW6|MGE22,GW6|MGE22,,2,GW6|MGE22,0,,,,GW6|MGE22,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
106709629,106709629,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,BT15|BT25,BT15|BT25,BT15|BT25,,2,BT15|BT25,0,,,,BT15|BT25,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
106869729,106869729,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,K27|K31,K27|K31,K27|K31,,2,K27|K31,0,,,,K27|K31,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
107072938,107072938,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,M12|M22,M12|M22,M12|M22,,2,M12|M22,0,,,,M12|M22,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
107348451,107348451,switch,true,feeder_tie,mv_mv_tie,MV↔MV ties,2,SV14|SVW42,SV14|SVW42,SV14|SVW42,,2,SV14|SVW42,0,,,,SV14|SVW42,2,2,true,true,false,full-network,full-network (feeders),2026-04-22T22:26:21Z
